Types d'aliments,aliment,link,Quantité,Eau,Protéines,Alcool,Glucides,Lipides,Vitamine A(rétinol),Bêta-carotène(provitamine A),Vitamine D(cholécalciférol),Vitamine E(tocophérol),Vitamine K1,Vitamine K2,Vitamine C,Vitamine B1(thiamine),Vitamine B2(riboflavine),Vitamine B3(niacine),Vitamine B5(acide panthonéique),Vitamine B6,Vitamine B9(acide folique),Vitamine B12(cobolamine),Calcium,Cuivre
matieres-grasses-ajoutees,Huile de lin,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-lin-918023,100000000.0,,,,,100000000.0,,,,8990.0,9300000.0,,,,,,,,,,1000.0,
matieres-grasses-ajoutees,Huile de maïs,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-mais-918024,100000000.0,,,,,100000000.0,,,,13200.0,1900000.0,,,,,,,,,,,
matieres-grasses-ajoutees,Huile de noisette,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-noisette-918025,100000000.0,,,,,100000000.0,,,,28600.0,,,,,,,,,,,0,0
matieres-grasses-ajoutees,Huile de noix,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-noix-918026,100000000.0,,,,,100000000.0,,8000.0,,1810.0,15000000.0,,,,,,,,,,,
matieres-grasses-ajoutees,Huile de palme,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-palme-918027,100000000.0,,,,,100000000.0,,,,15900.0,8000000.0,,,,,,,,,,,
matieres-grasses-ajoutees,Huile de paraffine,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-paraffine-917998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matieres-grasses-ajoutees,Huile de pépins de raisin,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-pepins-de-raisin-918028,100000000.0,30000.0,,,,100000000.0,,5000000.0,250000.0,15700.0,189000000.0,,,,,,,,,,300.0,20.0
matieres-grasses-ajoutees,Huile de sardine,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-sardine-918012,100000000.0,,,,,100000000.0,,,8300000.000000001,,,,,,,,,,,,0,0
matieres-grasses-ajoutees,Huile de saumon,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-saumon-918013,100000000.0,,,,,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matieres-grasses-ajoutees,Huile de sésame,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-sesame-918029,100000000.0,,,,,100000000.0,,,,1100.0,13600000.0,,,,,,,,,,0,0
